"Timestamp","1. What is your musical taste? Select any genre  that you enjoy. Pick as many as you like.","2. How do you listen to music?","3. What is your film taste? Select any movie that you enjoyed watching. Pick as many as you like.","4. What is your TV show taste? Select any TV series that you enjoyed watching. Pick as many as you like.","5. What are your TV viewing habits?","6. Which of the following social media apps do you regularly use?  Pick as many as you like.","7. How many hours a week do you spend on your smart phone?","8. What is your preferred payment method in shops for amounts less than £20?","9. How old are you?"
"2019/06/20 10:10:14 PM GMT+1","Rock;Country;Pop;Indie;Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series","None of the above tv shows","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram","Between 5 and 10 hours","I mostly use cards","29"
"2019/06/20 10:12:43 PM GMT+1","Indie","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series","Doctor Who;Gavin and Stacey;Game of Thrones;The Thick of It","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter","Between 20 and 30 hours","I mostly use cards","48"
"2019/06/20 10:12:49 PM GMT+1","Classical;Pop;Indie;Electronic","I mostly  listen to CDs","Star Wars series;Back to the Future","Doctor Who","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","I don't use any social media app","Less than 5 hours","I mostly use cash","34"
"2019/06/20 10:16:20 PM GMT+1","Pop","I mostly listen to the radio","Love Actually;Toy Story series","Friends;Only Fools and Horses;Gavin and Stacey","I mostly watch recorded programs on my TV","Facebook;WhatsApp;Instagram","Between 10 and 20 hours","I mostly use cards","45"
"2019/06/20 10:17:39 PM GMT+1","Pop","I mostly use Spotify or another music streaming service","Star Wars series;Back to the Future","Friends;The Next Step","I mostly watch recorded programs on my TV","WhatsApp","Between 5 and 10 hours","I mostly use cards","11"
"2019/06/20 10:18:50 PM GMT+1","Pop","I mostly use Spotify or another music streaming service","Star Wars series;Toy Story series;Back to the Future;Apocalypse Now","Only Fools and Horses;Gavin and Stacey","I mostly watch recorded programs on my TV","Facebook;Twitter","Between 10 and 20 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","43"
"2019/06/20 10:22:29 PM GMT+1","Rock;Pop;Indie;Electronic","I mostly listen to the radio","It's a Wonderful Life;Star Wars series;Harry Potter series;Love Actually;Toy Story series;Back to the Future","Friends;Only Fools and Horses;The Inbetweeners","I mostly watch live TV (eg news or sports)","Facebook;WhatsApp;Instagram","Between 10 and 20 hours","I mostly use cards","46"
"2019/06/20 10:24:19 PM GMT+1","Pop","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Love Actually;Toy Story series","Friends;Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram;Snapchat","Between 20 and 30 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","17"
"2019/06/20 10:28:13 PM GMT+1","Rock;Indie","I mostly listen to the radio","It's a Wonderful Life;Star Wars series;Harry Potter series;Love Actually;Casablanca;Toy Story series;Back to the Future","Friends;Only Fools and Horses;Gavin and Stacey;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook;Twitter;WhatsApp;LinkedIn","Between 10 and 20 hours","I mostly use cards","50"
"2019/06/20 10:31:14 PM GMT+1","Electronic","I mostly use Spotify or another music streaming service","Star Wars series","The Thick of It","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram;LinkedIn","Between 10 and 20 hours","I mostly use cards","41"
"2019/06/20 10:37:31 PM GMT+1","Classical;Rock;Country;Pop;Indie;Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Toy Story series;2001 Space Odyssey;Back to the Future","Friends;Only Fools and Horses;Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp","Between 20 and 30 hours","I mostly use cards","35"
"2019/06/20 10:47:02 PM GMT+1","Pop","I mostly listen to the radio","Toy Story series","Friends;Gavin and Stacey;Game of Thrones;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook;WhatsApp","Between 10 and 20 hours","I mostly use cards","44"
"2019/06/20 10:50:45 PM GMT+1","Rock","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;2001 Space Odyssey;Back to the Future","Doctor Who;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram","Between 10 and 20 hours","I mostly use cards","16"
"2019/06/20 10:53:27 PM GMT+1","Classical;Rock;Indie","I mostly use Spotify or another music streaming service","Star Wars series;Toy Story series;2001 Space Odyssey","None of the above tv shows","I don't really watch TV programs","Facebook","Between 5 and 10 hours","I mostly use cash","36"
"2019/06/20 10:54:42 PM GMT+1","Indie","I mostly use YouTube or other websites","Star Wars series;Apocalypse Now","Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp","Between 10 and 20 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","26"
"2019/06/20 10:56:13 PM GMT+1","Pop","I mostly use Spotify or another music streaming service","Apocalypse Now","The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram;Snapchat;LinkedIn","Between 10 and 20 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","16"
"2019/06/20 11:01:58 PM GMT+1","Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Toy Story series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Friends;Only Fools and Horses;Doctor Who;The Thick of It;The Inbetweeners","I mostly watch live TV (eg news or sports)","Twitter;WhatsApp;Instagram;LinkedIn","Between 10 and 20 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","43"
"2019/06/20 11:06:17 PM GMT+1","Rock;Pop;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Back to the Future;Apocalypse Now","The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;Instagram","Less than 5 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","48"
"2019/06/20 11:17:50 PM GMT+1","Rock;Pop;Indie","I mostly use Spotify or another music streaming service","Star Wars series;Toy Story series","Downtown Abbey;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram","Between 5 and 10 hours","I mostly use cards","43"
"2019/06/20 11:34:53 PM GMT+1","Classical;Rock;Country;Pop;Indie;Electronic","I mostly use YouTube or other websites","It's a Wonderful Life;Star Wars series;Harry Potter series;Back to the Future","Only Fools and Horses;Downtown Abbey;Gavin and Stacey;Game of Thrones;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook","Between 10 and 20 hours","I mostly use cards","64"
"2019/06/20 11:37:17 PM GMT+1","Classical;Rock;Country","I mostly  listen to CDs","It's a Wonderful Life;Harry Potter series","Only Fools and Horses;Doctor Who;Gavin and Stacey;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook","Less than 5 hours","I mostly use cash","73"
"2019/06/20 11:47:15 PM GMT+1","Rock;Pop;Electronic","I mostly listen to the radio","Star Wars series;Harry Potter series;Toy Story series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Friends;Only Fools and Horses;Doctor Who;Downtown Abbey;Game of Thrones;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook;WhatsApp;Instagram","Between 5 and 10 hours","I mostly use cards","50"
"2019/06/21 12:18:19 AM GMT+1","Rock;Pop;Indie","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Toy Story series","Doctor Who;Gavin and Stacey;Game of Thrones;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook;WhatsApp;LinkedIn","Between 10 and 20 hours","I mostly use cards","52"
"2019/06/21 12:55:01 AM GMT+1","Classical;Rock","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Toy Story series;2001 Space Odyssey;Apocalypse Now","Doctor Who;Downtown Abbey;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;LinkedIn","Between 10 and 20 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","55"
"2019/06/21 4:02:20 AM GMT+1","Classical;Rock;Country;Pop;Indie","I mostly use YouTube or other websites","None of the above films","None of the above tv shows","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Pinterest;LinkedIn","Between 20 and 30 hours","I mostly use cash","20"
"2019/06/21 5:31:51 AM GMT+1","Classical;Rock","I mostly use YouTube or other websites","It's a Wonderful Life;Star Wars series;Casablanca;2001 Space Odyssey;Back to the Future;Apocalypse Now","None of the above tv shows","I don't really watch TV programs","LinkedIn","I don't own a smart phone","I mostly use cash","45"
"2019/06/21 5:57:40 AM GMT+1","Classical","I mostly listen to the radio","None of the above films","Only Fools and Horses","I mostly watch live TV (eg news or sports)","I don't use any social media app","Less than 5 hours","I mostly use cards","68"
"2019/06/21 6:28:59 AM GMT+1","Classical;Pop;Indie;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Harry Potter series;Toy Story series;Back to the Future","Doctor Who","I don't really watch TV programs","WhatsApp;Instagram;Snapchat;LinkedIn","More than 30 hours","I mostly use cash","17"
"2019/06/21 6:52:13 AM GMT+1","Classical;Pop","I mostly listen to the radio","None of the above films","None of the above tv shows","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook","Less than 5 hours","I mostly use cards","17"
"2019/06/21 7:48:58 AM GMT+1","Classical;Rock","I mostly  listen to CDs","It's a Wonderful Life;2001 Space Odyssey;Back to the Future","Friends;Downtown Abbey;The Inbetweeners","I mostly watch live TV (eg news or sports)","Twitter;WhatsApp;Instagram;LinkedIn","Less than 5 hours","I mostly use cards","51"
"2019/06/21 8:04:03 AM GMT+1","Classical;Rock","I mostly listen to the radio","Star Wars series;Harry Potter series","None of the above tv shows","I mostly watch live TV (eg news or sports)","WhatsApp","Between 5 and 10 hours","I mostly use cards","59"
"2019/06/21 8:11:44 AM GMT+1","Rock;Pop;Indie","I mostly use Spotify or another music streaming service","Harry Potter series;Love Actually","Friends;Doctor Who;Gavin and Stacey;The Thick of It","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram","Between 10 and 20 hours","I mostly use cards","17"
"2019/06/21 8:17:50 AM GMT+1","Rock;Pop;Indie","I mostly listen to the radio","Harry Potter series;Love Actually","Friends;Only Fools and Horses;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp","Between 10 and 20 hours","I mostly use cards","51"
"2019/06/21 8:20:53 AM GMT+1","Pop","I mostly listen to the radio","Harry Potter series","Friends","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp","Between 10 and 20 hours","I mostly use cash","9"
"2019/06/21 8:22:16 AM GMT+1","Pop","I mostly listen to the radio","None of the above films","Friends","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp","Between 10 and 20 hours","I mostly use cash","9"
"2019/06/21 8:23:17 AM GMT+1","Rock;Country;Pop;Indie;Hip-hop/Rap","I mostly use YouTube or other websites","None of the above films","None of the above tv shows","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Instagram;Snapchat","Between 10 and 20 hours","I mostly use cash","14"
"2019/06/21 8:24:08 AM GMT+1","Rock","I mostly use YouTube or other websites","None of the above films","None of the above tv shows","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","LinkedIn","Between 10 and 20 hours","I mostly use cards","40"
"2019/06/21 8:29:18 AM GMT+1","Classical;Rock","I mostly listen to the radio","Casablanca","Only Fools and Horses","I mostly watch live TV (eg news or sports)","I don't use any social media app;WhatsApp","Less than 5 hours","I mostly use cards","59"
"2019/06/21 8:40:11 AM GMT+1","Rock;Pop","I mostly use Spotify or another music streaming service","Star Wars series;Back to the Future","Friends;Doctor Who","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;LinkedIn","Between 5 and 10 hours","I mostly use cards","29"
"2019/06/21 8:42:21 AM GMT+1","Classical;Pop","I mostly use Spotify or another music streaming service","Harry Potter series;2001 Space Odyssey;Back to the Future","Doctor Who;Downtown Abbey;Game of Thrones;The Thick of It","I mostly watch recorded programs on my TV","Facebook;Twitter;WhatsApp;Instagram","Between 5 and 10 hours","I mostly use cards","56"
"2019/06/21 9:14:54 AM GMT+1","Classical;Rock;Country","I mostly listen to the radio","Star Wars series;Love Actually;Toy Story series","Gavin and Stacey","I mostly watch live TV (eg news or sports)","WhatsApp","Between 10 and 20 hours","I mostly use cards","68"
"2019/06/21 9:22:37 AM GMT+1","Classical;Rock;Country;Pop;Indie;Electronic;Hip-hop/Rap","I mostly  listen to CDs","Star Wars series;Harry Potter series;Back to the Future","Doctor Who;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram;Snapchat","Between 20 and 30 hours","I mostly use cash","30"
"2019/06/21 9:34:04 AM GMT+1","Classical;Rock;Pop;Indie;Hip-hop/Rap","I mostly  listen to CDs","It's a Wonderful Life;Star Wars series;Casablanca;Toy Story series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Friends;Only Fools and Horses;Doctor Who;Gavin and Stacey;The Thick of It","I mostly watch recorded programs on my TV","Facebook","Less than 5 hours","I mostly use cash","62"
"2019/06/21 9:40:43 AM GMT+1","Rock;Pop;Indie","I mostly use Spotify or another music streaming service","Star Wars series;Casablanca;Back to the Future","Friends;Only Fools and Horses;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Twitter;Snapchat","Between 10 and 20 hours","I mostly use cards","17"
"2019/06/21 9:42:05 AM GMT+1","Indie;Hip-hop/Rap","I mostly listen to the radio","It's a Wonderful Life;Star Wars series;Harry Potter series;Love Actually;Casablanca;Toy Story series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Friends;Only Fools and Horses;Doctor Who;Game of Thrones;The Thick of It;The Inbetweeners;The Next Step","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram;Pinterest;LinkedIn","Between 5 and 10 hours","I mostly use cards","55"
"2019/06/21 9:46:12 AM GMT+1","Classical;Rock;Indie","I mostly use YouTube or other websites","Star Wars series;Harry Potter series;2001 Space Odyssey;Back to the Future","None of the above tv shows","I mostly watch live TV (eg news or sports)","Facebook;Twitter;LinkedIn","Less than 5 hours","I mostly use cards","65"
"2019/06/21 9:47:38 AM GMT+1","Pop;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Harry Potter series","Friends","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp","Between 20 and 30 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","16"
"2019/06/21 9:49:45 AM GMT+1","Rock","I mostly use Spotify or another music streaming service","It's a Wonderful Life;Star Wars series;Harry Potter series;Casablanca;Toy Story series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Friends;Doctor Who;Downtown Abbey;The Thick of It","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;LinkedIn","Between 5 and 10 hours","I mostly use cash","50"
"2019/06/21 9:51:52 AM GMT+1","None of the above genres","I mostly  listen to CDs","It's a Wonderful Life;Harry Potter series;Back to the Future","Friends;Only Fools and Horses;Doctor Who","I mostly watch live TV (eg news or sports)","WhatsApp","Less than 5 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","58"
"2019/06/21 10:04:43 AM GMT+1","Classical;Rock","I mostly  listen to CDs","It's a Wonderful Life;Star Wars series;Harry Potter series;Love Actually;Casablanca;2001 Space Odyssey;Apocalypse Now","Downtown Abbey;Game of Thrones;The Thick of It","I mostly watch recorded programs on my TV","I don't use any social media app","Less than 5 hours","I mostly use cards","64"
"2019/06/21 10:05:48 AM GMT+1","Classical;Rock","I mostly  listen to CDs","Star Wars series;2001 Space Odyssey;Back to the Future","Only Fools and Horses;Doctor Who;Downtown Abbey","I mostly watch recorded programs on my TV","I don't use any social media app","Less than 5 hours","I mostly use cards","57"
"2019/06/21 10:11:34 AM GMT+1","Rock;Indie;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Back to the Future;Apocalypse Now","Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Instagram;LinkedIn","Less than 5 hours","I mostly use cards","40"
"2019/06/21 10:15:32 AM GMT+1","Rock;Indie;Electronic","I mostly use Spotify or another music streaming service","It's a Wonderful Life;Star Wars series;Harry Potter series;Love Actually;Casablanca;Toy Story series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Game of Thrones;The Thick of It;The Inbetweeners","I mostly watch recorded programs on my TV","WhatsApp","Between 20 and 30 hours","I mostly use cards","47"
"2019/06/21 10:21:01 AM GMT+1","Rock;Indie","I mostly listen to the radio","Star Wars series;Harry Potter series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Doctor Who;Gavin and Stacey;Game of Thrones;The Thick of It;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook;WhatsApp","Between 5 and 10 hours","I mostly use cards","39"
"2019/06/21 10:21:04 AM GMT+1","Classical;Rock;Country;Indie","I mostly use Spotify or another music streaming service","Star Wars series;Back to the Future","None of the above tv shows","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram","Between 10 and 20 hours","I mostly use cards","29"
"2019/06/21 10:47:18 AM GMT+1","Rock;Indie","I mostly use YouTube or other websites","Star Wars series;Harry Potter series","Game of Thrones","I mostly watch recorded programs on my TV","WhatsApp","Between 20 and 30 hours","I mostly use cards","51"
"2019/06/21 11:11:50 AM GMT+1","Classical;Rock","I mostly use YouTube or other websites","Star Wars series;Casablanca;Toy Story series;Back to the Future","None of the above tv shows","I don't really watch TV programs","I don't use any social media app","I don't own a smart phone","I mostly use cash","17"
"2019/06/21 11:24:52 AM GMT+1","Rock;Country;Pop;Indie","I mostly use Spotify or another music streaming service","Harry Potter series;Back to the Future","Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;LinkedIn","Between 20 and 30 hours","I mostly use cards","28"
"2019/06/21 11:38:43 AM GMT+1","Classical","I mostly listen to the radio","Casablanca","None of the above tv shows","I mostly watch recorded programs on my TV","I don't use any social media app","I don't own a smart phone","I mostly use cash","78"
"2019/06/21 11:54:32 AM GMT+1","Rock;Country;Pop;Indie;Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Harry Potter series;Love Actually;Toy Story series;Back to the Future","Friends;Only Fools and Horses;Doctor Who","I don't really watch TV programs","Facebook;WhatsApp;Instagram","Between 20 and 30 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","27"
"2019/06/21 12:00:29 PM GMT+1","Classical","I mostly use YouTube or other websites","None of the above films","None of the above tv shows","I don't really watch TV programs","I don't use any social media app","Less than 5 hours","I mostly use cash","68"
"2019/06/21 12:19:55 PM GMT+1","Rock;Pop;Hip-hop/Rap","I mostly use YouTube or other websites","Harry Potter series;Love Actually;Toy Story series","Friends;Gavin and Stacey;The Inbetweeners;The Next Step","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Instagram;Snapchat","Less than 5 hours","I mostly use cards","17"
"2019/06/21 12:54:46 PM GMT+1","Pop","I mostly use YouTube or other websites","It's a Wonderful Life;Star Wars series;Love Actually;Casablanca","Friends;Downtown Abbey;Gavin and Stacey;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram","Between 20 and 30 hours","I mostly use cards","37"
"2019/06/21 1:09:33 PM GMT+1","Classical;Pop","I mostly use Spotify or another music streaming service","Love Actually;Back to the Future","Friends;Downtown Abbey;Game of Thrones","I mostly watch recorded programs on my TV","Facebook;WhatsApp;LinkedIn","Between 20 and 30 hours","I mostly use cards","43"
"2019/06/21 1:38:38 PM GMT+1","Classical;Pop;Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Apocalypse Now","Gavin and Stacey;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram;Snapchat","Between 20 and 30 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","17"
"2019/06/21 2:23:11 PM GMT+1","Rock;Hip-hop/Rap","I mostly use Spotify or another music streaming service","None of the above films","Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Twitter;WhatsApp","Between 10 and 20 hours","I mostly use cash","17"
"2019/06/21 2:59:38 PM GMT+1","Rock;Country;Pop","I mostly use Spotify or another music streaming service","Toy Story series","Only Fools and Horses;Doctor Who","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp","I don't own a smart phone","I mostly use cards","63"
"2019/06/21 3:34:41 PM GMT+1","Classical;Rock;Country;Pop","I mostly  listen to CDs","Love Actually;Casablanca;2001 Space Odyssey;Apocalypse Now","Only Fools and Horses;The Inbetweeners","I don't really watch TV programs","WhatsApp;Pinterest","Between 10 and 20 hours","I mostly use cash","57"
"2019/06/21 5:20:41 PM GMT+1","Classical;Rock;Indie;Electronic","I mostly  listen to CDs","It's a Wonderful Life;Star Wars series;Harry Potter series;Casablanca;2001 Space Odyssey;Apocalypse Now","Doctor Who;Gavin and Stacey;Game of Thrones","I mostly watch recorded programs on my TV","I don't use any social media app","Less than 5 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","54"
"2019/06/21 6:06:17 PM GMT+1","Pop","I mostly listen to the radio","Star Wars series;Toy Story series;Back to the Future","Doctor Who;The Next Step","I mostly watch recorded programs on my TV","I don't use any social media app","I don't own a smart phone","I mostly use cash","9"
