"Timestamp","1. What is your musical taste? Select any genre  that you enjoy. Pick as many as you like.","2. How do you listen to music?","3. What is your film taste? Select any movie that you enjoyed watching. Pick as many as you like.","4. What is your TV show taste? Select any TV series that you enjoyed watching. Pick as many as you like.","5. What are your TV viewing habits?","6. Which of the following social media apps do you regularly use?  Pick as many as you like.","7. How many hours a week do you spend on your smart phone?","8. What is your preferred payment method in shops for amounts less than £20?","9. How old are you?"
"2019/06/20 11:26:40 AM GMT+1","Rock;Indie;Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Toy Story series","Friends;Only Fools and Horses;Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram;Snapchat;LinkedIn","Between 10 and 20 hours","I mostly use cards","25"
"2019/06/20 11:33:24 AM GMT+1","Country;Pop;Indie;Electronic;Hip-hop/Rap","I mostly use YouTube or other websites","Harry Potter series;Love Actually;Toy Story series;2001 Space Odyssey","Friends;Only Fools and Horses;Doctor Who;Downtown Abbey;The Thick of It;The Inbetweeners","I don't really watch TV programs","Facebook;WhatsApp;Instagram;LinkedIn","Between 20 and 30 hours","I mostly use cards","25"
"2019/06/20 11:37:05 AM GMT+1","Indie","I mostly use Spotify or another music streaming service","It's a Wonderful Life;Star Wars series;Harry Potter series;Love Actually;Casablanca;Toy Story series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Friends;Only Fools and Horses;Gavin and Stacey;Game of Thrones;The Thick of It;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram","Between 20 and 30 hours","I mostly use cards","25"
"2019/06/20 11:37:20 AM GMT+1","Rock;Country;Pop;Indie;Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Love Actually;Toy Story series","Gavin and Stacey;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook","Between 20 and 30 hours","I mostly use cards","45"
"2019/06/20 11:37:56 AM GMT+1","Indie;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Apocalypse Now","Friends;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp","Between 5 and 10 hours","I mostly use cards","26"
"2019/06/20 11:39:40 AM GMT+1","Country;Pop;Indie;Electronic;Hip-hop/Rap","I mostly use YouTube or other websites","Harry Potter series;Love Actually;Toy Story series;2001 Space Odyssey","Friends;Only Fools and Horses;Doctor Who;Downtown Abbey;The Thick of It;The Inbetweeners","I don't really watch TV programs","Facebook;WhatsApp;Instagram;LinkedIn","Between 20 and 30 hours","I mostly use cards","25"
"2019/06/20 11:42:39 AM GMT+1","Country","I mostly listen to the radio","Love Actually","Friends;Gavin and Stacey","I don't really watch TV programs","Facebook;WhatsApp","Between 5 and 10 hours","I mostly use cards","42"
"2019/06/20 11:45:20 AM GMT+1","Rock;Pop","I mostly listen to the radio","It's a Wonderful Life;Love Actually;Toy Story series;Back to the Future","Friends;Only Fools and Horses;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp","Between 10 and 20 hours","I mostly use cards","52"
"2019/06/20 11:47:39 AM GMT+1","Classical;Electronic","I mostly  listen to CDs","It's a Wonderful Life;Star Wars series;Harry Potter series;Love Actually;2001 Space Odyssey;Back to the Future;Apocalypse Now","Friends;Only Fools and Horses;Doctor Who","I mostly watch recorded programs on my TV","WhatsApp","Between 10 and 20 hours","I mostly use cards","62"
"2019/06/20 12:00:41 PM GMT+1","Classical;Pop","I mostly listen to the radio","Love Actually;Toy Story series","Friends;Only Fools and Horses;Gavin and Stacey;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook;WhatsApp","Between 20 and 30 hours","I mostly use cards","54"
